method,n,true_p,coverage,length
clopper_pearson,2000,0.56,0.95094,0.043971617581915146
clopper_pearson,2000,0.5700000000000001,0.94989,0.04385693581354496
clopper_pearson,2000,0.58,0.95119,0.04372312134523629
clopper_pearson,2000,0.59,0.95136,0.043571983018881065
clopper_pearson,2000,0.6,0.95334,0.04340351865959414
clopper_pearson,2000,0.61,0.95314,0.04321479882220677
clopper_pearson,2000,0.62,0.95206,0.04300706331595357
clopper_pearson,2000,0.63,0.95177,0.042783631135132234
clopper_pearson,2000,0.64,0.95221,0.042536784616168125
clopper_pearson,2000,0.65,0.95441,0.04227125200958286
clopper_pearson,2000,0.66,0.95258,0.04198437622802852
clopper_pearson,2000,0.67,0.95103,0.041678948964415694
clopper_pearson,2000,0.68,0.95356,0.04135202859603684
clopper_pearson,2000,0.6900000000000001,0.95275,0.04100426246203153
clopper_pearson,2000,0.7000000000000001,0.95287,0.04063379058998274
clopper_pearson,2000,0.71,0.9539,0.04024028777592816
clopper_pearson,2000,0.72,0.95349,0.039823053537248944
clopper_pearson,2000,0.73,0.95297,0.039378321360935796
clopper_pearson,2000,0.74,0.95351,0.038914001999860386
clopper_pearson,2000,0.75,0.95342,0.03842423488625894
clopper_pearson,2000,0.76,0.95372,0.037906156239706695
clopper_pearson,2000,0.77,0.95443,0.03735337096659899
clopper_pearson,2000,0.78,0.95343,0.03678095001035602
clopper_pearson,2000,0.79,0.95246,0.03617340201593191
clopper_pearson,2000,0.8,0.95274,0.03553185747212716
clopper_pearson,2000,0.81,0.95466,0.03485874514841488
clopper_pearson,2000,0.8200000000000001,0.9518,0.03414924789426939
clopper_pearson,2000,0.8300000000000001,0.95419,0.03339689272516884
clopper_pearson,2000,0.84,0.95331,0.03260376112963467
clopper_pearson,2000,0.85,0.95505,0.031772767346156056
clopper_pearson,2000,0.86,0.95449,0.0308841168660082
clopper_pearson,2000,0.87,0.95335,0.029953777787343462
clopper_pearson,2000,0.88,0.95422,0.028964977133506414
clopper_pearson,2000,0.89,0.955,0.027906233815827127
clopper_pearson,2000,0.9,0.95492,0.026770354991844682
clopper_pearson,2000,0.91,0.95309,0.025567792061476496
clopper_pearson,2000,0.92,0.95208,0.024261240301673564
clopper_pearson,2000,0.93,0.95601,0.02284902955573667
clopper_pearson,2000,0.9400000000000001,0.95201,0.021303761148584722
clopper_pearson,2000,0.9500000000000001,0.96074,0.0195940994771727
clopper_pearson,2000,0.96,0.96034,0.01767385406966528
clopper_pearson,2000,0.97,0.95061,0.015445295437149398
clopper_pearson,2000,0.98,0.96221,0.012766826452908563
clopper_pearson,2000,0.99,0.95832,0.00923093563757528
clopper_pearson,2000,1.0,1.0,0.0018427397934059897
clopper_pearson,10000,0.0,1.0,0.0003688199146187621
clopper_pearson,10000,0.01,0.95507,0.004000330058288413
clopper_pearson,10000,0.02,0.95559,0.0055890167138154005
clopper_pearson,10000,0.03,0.95425,0.006786451553713895
clopper_pearson,10000,0.04,0.9527,0.007780493734114322
clopper_pearson,10000,0.05,0.9516,0.0086413700283539
clopper_pearson,10000,0.06,0.95293,0.009407985036452435
clopper_pearson,10000,0.07,0.95162,0.010100182966395446
clopper_pearson,10000,0.08,0.95403,0.01073217116318615
